timestamp,x,y,z
0,5.02,8.94,0.91
10,5.31,9.0,0.81
20,6.0,8.9,0.42
30,6.41,8.81,0.08
40,6.7,8.84,-0.16
50,6.6,8.98,0.15
60,6.32,9.16,0.48
70,6.01,9.11,1.12
80,5.58,9.35,1.68
90,5.09,9.53,2.67
100,4.22,9.7,3.71
110,2.92,9.81,4.54
120,1.72,9.85,4.86
130,0.57,9.78,5.08
140,-0.65,9.65,5.48
150,-1.87,9.38,5.77
160,-2.93,8.97,5.79
170,-3.94,8.46,5.56
180,-4.93,7.93,5.25
190,-5.63,7.44,5.22
200,-5.64,7.01,4.88
210,-5.05,6.54,3.76
220,-4.73,5.87,2.23
230,-4.68,4.95,0.41
240,-4.36,4.09,-1.2
250,-3.28,3.53,-1.57
260,-1.8,3.45,-0.44
270,-0.21,3.39,1.29
280,1.54,3.45,2.06
290,2.68,3.54,2.24
300,3.92,3.77,2.16
310,5.19,3.78,1.92
320,6.57,3.59,1.32
330,8.33,3.34,0.87
340,10.07,3.1,0.45
350,11.24,2.89,0.25
360,11.7,2.65,0.27
370,11.82,2.42,0.5
380,11.88,2.34,0.61
390,12.12,2.39,0.56
400,12.81,2.57,0.38
410,13.73,2.88,0.15
420,14.6,3.34,-0.13
430,15.13,4.11,0.15
440,15.3,5.07,1.4
450,15.49,5.99,3.32
460,15.13,7.06,4.81
470,14.45,7.86,5.96
480,13.6,8.17,6.59
490,12.5,9.02,7.23
500,11.93,9.31,7.18
510,11.02,9.65,7.3
520,10.06,9.9,7.72
530,9.2,10.11,8.42
540,8.48,10.21,8.73
550,7.69,10.12,9.54
560,7.7,10.08,9.96
570,7.39,10.53,10.69
580,7.85,10.49,10.73
590,7.53,10.41,10.86
600,6.63,10.4,10.94
610,5.99,10.2,11.09
620,5.09,10.11,11.21
630,3.18,10.12,11.46
640,1.73,10.58,12.63
650,1.49,10.19,13.7
660,0.94,9.98,12.15
670,0.97,9.41,10.45
680,0.21,8.81,10.62
690,-0.48,9.07,11.69
700,-0.49,8.48,11.35
710,-0.85,8.21,9.33
720,-1.3,7.25,8.91
730,-1.09,7.82,8.32
740,-0.49,7.06,8.48
750,-0.02,6.44,7.17
760,-0.25,6.19,6.54
770,-0.38,6.31,5.95
780,-0.62,6.26,6.12
790,-0.73,6.0,5.91
800,-0.63,5.68,5.34
810,-0.72,5.75,5.08
820,-0.95,6.16,4.98
830,-0.59,6.05,4.93
840,-0.17,5.68,3.87
850,0.13,5.39,2.83
860,0.22,5.68,2.29
870,0.32,5.65,1.71
880,0.67,5.36,1.66
890,1.05,5.08,1.19
900,1.56,5.08,0.25
910,2.24,5.28,-0.09
920,2.73,5.32,-0.2
930,3.06,5.38,-0.51
940,3.38,5.66,-0.44
950,3.97,6.12,-0.27
960,4.66,6.49,-0.49
970,5.69,6.45,-0.79
980,6.62,6.58,-1.08
990,7.38,6.7,-1.58
1000,7.71,6.94,-1.68
