timestamp,x,y,z
0,0.95,9.36,2.24
10,0.94,9.36,2.28
20,0.91,9.31,2.26
30,0.91,9.32,2.16
40,0.92,9.32,2.13
50,0.99,9.31,2.09
60,1.0,9.33,2.11
70,0.94,9.37,2.16
80,0.91,9.34,2.21
90,0.93,9.33,2.18
100,0.87,9.43,2.18
110,1.2,9.2,1.87
120,1.12,9.28,1.98
130,0.96,9.28,1.94
140,1.0,9.23,1.93
150,0.89,9.22,1.84
160,0.93,9.12,1.75
170,0.86,9.13,1.77
180,0.71,9.15,1.85
190,0.74,9.12,1.85
200,0.79,9.09,1.82
210,0.8,9.09,1.82
220,0.76,9.05,1.78
230,0.76,9.02,1.77
240,0.68,8.96,1.79
250,0.59,8.93,1.78
260,0.57,8.83,1.72
270,0.6,8.75,1.62
280,0.63,8.65,1.56
290,0.68,8.47,1.45
300,0.74,8.27,1.4
310,0.85,8.03,1.41
320,0.99,7.63,1.44
330,1.05,6.98,1.33
340,0.91,6.2,1.07
350,0.76,5.42,0.67
360,0.61,4.63,0.09
370,0.32,3.88,-0.52
380,-0.17,2.95,-1.74
390,-0.24,2.35,-2.44
400,-0.73,1.65,-3.08
410,-1.04,0.88,-3.95
420,-1.08,0.4,-4.31
430,-1.17,0.3,-3.88
440,-0.79,0.24,-3.39
450,-0.28,0.92,-2.45
460,0.58,2.44,-0.11
470,2.74,4.14,2.32
480,5.25,5.48,4.11
490,7.81,6.34,4.88
500,9.64,6.86,5.49
510,10.16,7.5,6.52
520,9.19,8.32,7.56
530,7.7,9.15,8.3
540,6.29,9.73,8.91
550,4.68,10.32,9.74
560,2.74,10.86,10.73
570,0.97,11.5,11.63
580,0.27,12.57,13.39
590,0.54,13.78,16.29
600,1.43,14.71,17.89
610,3.73,15.4,18.72
620,6.67,16.12,19.67
630,8.71,16.26,20.2
640,9.1,15.83,19.46
650,8.67,14.88,17.47
660,7.1,13.75,15.77
670,4.82,12.74,14.91
680,3.34,12.14,14.64
690,2.96,11.61,14.72
700,3.32,10.96,14.48
710,5.24,10.37,13.61
720,6.82,9.27,12.16
730,6.79,8.41,10.59
740,6.06,7.41,9.22
750,5.27,5.94,7.92
760,3.86,4.13,5.85
770,2.03,2.93,4.08
780,0.67,2.19,2.69
790,-0.69,1.93,1.39
800,-2.29,1.46,0.67
810,-3.62,1.43,0.29
820,-3.89,1.67,0.24
830,-3.53,1.77,-0.25
840,-3.17,1.86,-1.16
850,-2.89,1.81,-2.01
860,-2.61,2.32,-2.18
870,-2.35,3.11,-1.15
880,-2.17,3.41,-0.62
890,-2.1,3.69,-0.41
900,-2.11,4.28,0.05
910,-2.1,4.76,0.45
920,-2.42,5.29,0.77
930,-2.41,5.83,0.92
940,-2.01,6.02,0.88
950,-1.75,6.33,0.91
960,-1.69,6.93,1.47
970,-1.6,7.55,2.42
980,-1.28,7.76,2.6
990,-0.95,8.02,2.46
1000,-0.63,8.26,2.58
