timestamp,x,y,z
0,0.77,7.04,5.7
10,0.75,7.03,5.68
20,0.76,7.04,5.67
30,0.76,7.03,5.65
40,0.74,7.04,5.72
50,0.7,7.05,5.8
60,0.71,7.04,5.83
70,0.74,7.0,5.81
80,0.8,6.98,5.73
90,0.81,6.93,5.66
100,0.79,6.93,5.66
110,0.8,6.91,5.59
120,0.81,6.89,5.54
130,0.77,6.9,5.58
140,0.8,6.9,5.56
150,0.8,6.93,5.53
160,0.76,6.94,5.55
170,0.79,6.94,5.56
180,0.86,6.92,5.58
190,0.85,6.95,5.59
200,0.8,6.98,5.67
210,0.73,6.98,5.73
220,0.75,6.96,5.69
230,0.74,6.96,5.71
240,0.79,6.98,5.77
250,0.79,7.0,5.77
260,0.81,7.01,5.81
270,0.79,7.01,5.78
280,0.77,7.01,5.77
290,0.79,7.02,5.77
300,0.78,7.0,5.71
310,0.8,6.98,5.61
320,0.83,6.94,5.52
330,0.9,6.91,5.51
340,0.92,6.93,5.45
350,0.87,6.94,5.49
360,0.86,6.98,5.57
370,0.91,6.95,5.54
380,0.9,6.94,5.55
390,0.91,6.97,5.56
400,0.91,6.96,5.58
410,0.91,6.92,5.56
420,0.93,6.92,5.54
430,0.95,6.92,5.56
440,1.08,6.91,5.5
450,1.16,6.88,5.46
460,1.26,6.85,5.45
470,1.41,6.79,5.42
480,1.69,6.67,5.38
490,2.6,6.44,5.16
500,3.71,6.11,5.04
510,4.98,5.79,5.14
520,6.29,5.28,4.87
530,7.8,4.68,4.89
540,9.02,4.25,5.68
550,10.06,3.82,6.25
560,10.28,3.63,6.7
570,9.82,3.59,7.78
580,8.85,3.73,8.61
590,7.42,3.99,9.3
600,5.05,4.37,10.03
610,1.48,5.12,10.59
620,-1.01,5.59,9.81
630,-2.29,5.54,8.96
640,-3.13,5.54,7.81
650,-4.31,5.75,6.98
660,-5.89,5.98,6.26
670,-7.61,6.3,5.73
680,-8.54,6.57,4.75
690,-8.48,6.52,4.09
700,-8.82,6.38,3.68
710,-9.68,6.46,3.38
720,-10.14,6.56,3.49
730,-10.39,6.62,3.62
740,-10.25,6.44,3.41
750,-9.93,6.32,3.42
760,-9.02,5.95,3.56
770,-8.28,5.93,3.86
780,-7.44,5.8,4.35
790,-6.76,5.67,5.12
800,-5.5,5.49,4.99
810,-4.4,5.39,4.96
820,-4.06,5.44,6.01
830,-3.3,5.32,6.53
840,-1.71,5.3,6.35
850,-0.95,5.15,6.54
860,-0.49,5.11,6.41
870,-0.1,5.12,6.31
880,0.01,5.43,5.83
890,0.7,5.11,6.29
900,0.63,5.34,7.09
910,1.19,5.54,7.18
920,1.94,5.61,7.32
930,2.38,5.73,7.79
940,2.9,5.87,8.3
950,3.66,5.83,8.2
960,4.06,5.92,8.43
970,4.15,5.99,8.53
980,4.41,5.81,8.05
990,4.4,5.8,7.54
1000,4.03,5.83,7.51
